id,species,forme,type1,type2,hp,attack,defense,spattack,spdefense,speed,dex1,dex2,pre-evolution
417,Pachirisu,Pachirisu,Electric,,60,45,70,45,90,95,,,
418,Buizel,Buizel,Water,,55,65,35,60,30,85,,,
419,Floatzel,Floatzel,Water,,85,105,55,85,50,115,,,Buizel
420,Cherubi,Cherubi,Grass,,45,35,45,62,53,35,,,
421,Cherrim,Cherrim (Overcast Form),Grass,,70,60,70,87,78,85,,,Cherubi
422,Shellos,Shellos (West Sea),Water,,76,48,48,57,62,34,"For the most part, it makes its home along the seashore. Its color and form differ according to its habitat and the quality of its food.","Purple mucus sticks to the hands of anyone who touches it. Take care, as the substance is troublesome to wash off.",
423,Gastrodon,Gastrodon (West Sea),Water,Ground,111,83,68,92,82,39,"It has strong regenerative capabilities. Even if parts of it are bitten off by fish Pokémon, it will return to normal within a few hours.","Plankton, invisible to the naked eye, is its main food source. It comes onto the land periodically, but the reason for this is not known.",Shellos
424,Ambipom,Ambipom,Normal,,75,100,66,60,66,115,,,Aipom
425,Drifloon,Drifloon,Ghost,Flying,90,50,34,60,44,70,Stories go that it grabs the hands of small children and drags them away to the afterlife. It dislikes heavy children.,"If for some reason its body bursts, its soul spills out with a screaming sound.",
426,Drifblim,Drifblim,Ghost,Flying,150,80,44,90,54,80,"There was once an incident in which a man took a trip riding a Drifblim, only to go missing.","Even while under careful observation, large flocks of Drifblim flying at dusk will inexplicably disappear from view.",Drifloon
427,Buneary,Buneary,Normal,,55,66,44,44,56,85,,,
428,Lopunny,Lopunny,Normal,,65,76,84,54,96,105,,,Buneary
429,Mismagius,Mismagius,Ghost,,60,60,60,105,105,105,"It appears as if from nowhere—muttering incantations, placing curses, and giving people terrifying visions.","Mismagius have been known to cast spells to make people fall in love, so some people search for this Pokémon as if their life depended on it.",Misdreavus
430,Honchkrow,Honchkrow,Dark,Flying,100,125,52,105,52,71,"A single cry from this nocturnal Pokémon, and more than a hundred of its Murkrow cronies will assemble.","If its Murkrow cronies fail to catch food for it, or if it feels they have betrayed it, it will hunt them down wherever they are and punish them.",Murkrow
431,Glameow,Glameow,Normal,,49,55,42,42,37,85,,,
432,Purugly,Purugly,Normal,,71,82,64,64,59,112,,,Glameow
433,Chingling,Chingling,Psychic,,45,30,50,65,50,45,,,
434,Stunky,Stunky,Poison,Dark,63,63,47,41,41,74,,,
435,Skuntank,Skuntank,Poison,Dark,103,93,67,71,61,84,,,Stunky
436,Bronzor,Bronzor,Steel,Psychic,57,24,86,24,86,23,,,
437,Bronzong,Bronzong,Steel,Psychic,67,89,116,79,116,33,,,Bronzor
438,Bonsly,Bonsly,Rock,,50,80,95,10,45,10,"It does not deal well with water, so it lives in dry locales. Since its surroundings tend to lack greenery, it stands out noticeably.","From its eyes, it can expel excess moisture from its body. This liquid is similar in composition to human sweat.",
439,Mime Jr.,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,,,
440,Happiny,Happiny,Normal,,100,5,5,15,65,30,"It carries a round white rock in its belly pouch. If it gets along well with someone, it will sometimes give that person the rock.","It’s too small to lay eggs yet. As a surrogate, it searches out round white stones.",
441,Chatot,Chatot,Normal,Flying,76,65,45,92,42,91,,,
442,Spiritomb,Spiritomb,Ghost,,50,92,108,92,108,35,,,
443,Gible,Gible,Dragon,Ground,58,70,45,40,45,42,"It lives in caves warmed by geothermal heat. Even so, when the weather gets cold, it will huddle close with others of its kind.","It skulks in caves, and when prey or an enemy passes by, it leaps out and chomps them. The force of its attack sometimes chips its teeth.",
444,Gabite,Gabite,Dragon,Ground,68,90,65,50,55,82,"In rare cases, it molts and sheds its scales. Medicine containing its scales as an ingredient will make a weary body feel invigorated.","Shiny objects are its passion. It can be found in its cave, scarcely moving, its gaze fixed on the jewels it’s amassed or Carbink it has caught.",Gible
445,Garchomp,Garchomp,Dragon,Ground,108,130,95,80,85,102,It can fly at speeds rivaling jet planes. It dives into flocks of bird Pokémon and gulps the entire flock down whole.,The protuberances on its head serve as sensors. It can even detect distant prey.,Gabite
446,Munchlax,Munchlax,Normal,,135,85,40,40,85,5,"It needs to consume its own weight in food every day. As far as flavor is concerned, it’s indifferent.","When it finds something that looks like it might be edible, it goes right ahead and swallows it whole. That’s why it gets fatter day by day.",
447,Riolu,Riolu,Fighting,,40,70,40,35,40,60,"It can discern the physical and emotional states of people, Pokémon, and other natural things from the shape of their aura waves.","It’s tough enough to run right through the night, and it’s also a hard worker, but it’s still just a youngster.",
448,Lucario,Lucario,Fighting,Steel,70,110,70,115,70,90,"Not only does it perceive auras, but it has also gained the power to control them. It employs them in battle.",They can detect the species of a living being— and its emotions—from over half a mile away. They control auras and hunt their prey in packs.,Riolu
449,Hippopotas,Hippopotas,Ground,,68,72,78,38,42,32,,,
450,Hippowdon,Hippowdon,Ground,,108,112,118,68,72,47,,,Hippopotas
451,Skorupi,Skorupi,Poison,Bug,40,50,90,30,55,65,,,
452,Drapion,Drapion,Poison,Dark,70,90,110,60,75,95,,,Skorupi
453,Croagunk,Croagunk,Poison,Fighting,48,61,40,61,40,50,,,
454,Toxicroak,Toxicroak,Poison,Fighting,83,106,65,86,65,85,,,Croagunk
455,Carnivine,Carnivine,Grass,,74,100,72,90,72,46,,,
456,Finneon,Finneon,Water,,49,49,56,49,61,66,"It absorbs sunlight with the pink areas of its skin, which then shine. This appears to be a form of camouflage.","Its double tail fins propel its energetic jumps. When it breaks the surface of the sea, Wingull swoop down to grab it on the fly.",
457,Lumineon,Lumineon,Water,,69,69,76,69,86,91,"With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokémon—its natural predators.",This deep-sea Pokémon lives at the bottom of the sea. Its fins haul it over the seabed in search of its favorite food—Starmie.,Finneon
458,Mantyke,Mantyke,Water,Flying,45,20,50,60,120,50,,,
459,Snover,Snover,Grass,Ice,60,62,50,62,60,40,,,
460,Abomasnow,Abomasnow,Grass,Ice,90,92,75,92,85,60,,,Snover
461,Weavile,Weavile,Dark,Ice,70,120,65,45,85,125,"They travel in groups of four or five, leaving signs for one another on trees and rocks. They bring down their prey with coordinated attacks.","They dwell in cold places. This Pokémon’s main food source in Alola is Vulpix and Sandshrew, which they carefully divide among their group.",Sneasel
462,Magnezone,Magnezone,Electric,Steel,70,70,115,130,90,60,Three units generate magnetism. There have been many mistaken reports of UFO sightings when Magnezone flies through the night sky.,"As it zooms through the sky, this Pokémon seems to be receiving signals of unknown origin, while transmitting signals of unknown purpose.",Magneton
463,Lickilicky,Lickilicky,Normal,,110,85,95,80,95,50,,,Lickitung
464,Rhyperior,Rhyperior,Ground,Rock,115,140,130,55,55,40,,,Rhydon
465,Tangrowth,Tangrowth,Grass,,100,100,125,110,50,50,,,Tangela
466,Electivire,Electivire,Electric,,75,123,67,95,85,95,It pushes the tips of its tails against its foes and then lets loose a high-voltage current. Its foes are burned to a crisp in an instant.,"When it gets excited, it thumps its chest. With every thud, thunder roars and electric sparks shower all around.",Electabuzz
467,Magmortar,Magmortar,Fire,,75,95,67,125,95,83,"They dwell in volcanic craters. According to what is known, a single pair of male and female Magmortar lives in one volcano.","From its arm, it launches fireballs hotter than 3,500 degrees Fahrenheit. Its arm starts to melt when it fires a whole barrage.",Magmar
468,Togekiss,Togekiss,Fairy,Flying,85,50,95,120,115,80,,,Togetic
469,Yanmega,Yanmega,Bug,Flying,86,76,86,116,56,95,,,Yanma
470,Leafeon,Leafeon,Grass,,65,110,130,60,65,95,Its cellular composition is closer to that of a plant than an animal. It uses photosynthesis to produce its energy supply without eating food.,"The younger they are, the more they smell like fresh grass. With age, their fragrance takes on the odor of fallen leaves.",Eevee
471,Glaceon,Glaceon,Ice,,65,60,110,130,95,65,"It can control its body temperature at will. This enables it to freeze the moisture in the atmosphere, creating flurries of diamond dust.","It freezes its fur into icicles, spiky and sharp, and tackles its prey.",Eevee
472,Gliscor,Gliscor,Ground,Flying,75,95,125,45,75,95,,,Gligar
473,Mamoswine,Mamoswine,Ice,Ground,110,130,80,70,60,80,,,Piloswine
474,Porygon-Z,Porygon-Z,Normal,,85,80,70,135,75,90,"In order to create a more advanced Pokémon, an additional program was installed, but apparently it contained a defect that makes it move oddly.","Its program was modified to facilitate extra-dimensional activities, but that led to noticeably strange behavior.",Porygon2
475,Gallade,Gallade,Psychic,Fighting,68,125,65,65,115,80,,,Kirlia
476,Probopass,Probopass,Rock,Steel,60,55,145,75,150,40,It radiates such a powerful magnetic field that nearby electrical appliances become unusable.,"The main body controls three mobile units called Mini-Noses, which it maneuvers to catch prey.",Nosepass
477,Dusknoir,Dusknoir,Ghost,,45,100,135,65,135,45,,,Dusclops
478,Froslass,Froslass,Ice,Ghost,70,80,70,80,70,110,"When it finds humans or Pokémon it likes, it freezes them and takes them to its chilly den, where they become decorations.","The soul of a woman lost on a snowy mountain possessed an icicle, becoming this Pokémon. The food it most relishes is the souls of men.",Snorunt
479,Rotom,Rotom (Rotom),Electric,Ghost,50,50,77,95,77,91,,,
480,Uxie,Uxie,Psychic,,75,75,130,75,130,95,,,
481,Mesprit,Mesprit,Psychic,,80,105,105,105,105,80,,,
482,Azelf,Azelf,Psychic,,75,125,70,125,70,115,,,
483,Dialga,Dialga,Steel,Dragon,100,120,120,150,100,90,,,
484,Palkia,Palkia,Water,Dragon,90,120,100,150,120,100,,,
485,Heatran,Heatran,Fire,Steel,91,90,106,130,106,77,,,
486,Regigigas,Regigigas,Normal,,110,160,110,80,110,100,,,
487,Giratina,Giratina (Altered Forme),Ghost,Dragon,150,100,120,100,120,90,,,
488,Cresselia,Cresselia,Psychic,,120,70,120,75,130,85,,,
489,Phione,Phione,Water,,80,80,80,80,80,80,,,
490,Manaphy,Manaphy,Water,,100,100,100,100,100,100,,,
491,Darkrai,Darkrai,Dark,,70,90,90,135,90,125,,,
492,Shaymin,Shaymin (Land Forme),Grass,,100,100,100,100,100,100,,,
493,Arceus,Arceus (Normal),Normal,,120,120,120,120,120,120,,,
494,Victini,Victini,Psychic,Fire,100,100,100,100,100,100,,,
495,Snivy,Snivy,Grass,,45,45,55,45,55,63,,,
496,Servine,Servine,Grass,,60,60,75,60,75,83,,,Snivy
497,Serperior,Serperior,Grass,,75,75,95,75,95,113,,,Servine
498,Tepig,Tepig,Fire,,65,63,45,45,45,45,,,
499,Pignite,Pignite,Fire,Fighting,90,93,55,70,55,55,,,Tepig
500,Emboar,Emboar,Fire,Fighting,110,123,65,100,65,65,,,Pignite
501,Oshawott,Oshawott,Water,,55,55,45,63,45,45,,,
502,Dewott,Dewott,Water,,75,75,60,83,60,60,,,Oshawott
503,Samurott,Samurott,Water,,95,100,85,108,70,70,,,Dewott
504,Patrat,Patrat,Normal,,45,55,39,35,39,42,,,
505,Watchog,Watchog,Normal,,60,85,69,60,69,77,,,Patrat
506,Lillipup,Lillipup,Normal,,45,60,45,25,45,55,"Because it doesn’t yelp, it’s extremely popular with Trainers who live in apartment buildings.","The long fur surrounding its face functions as radar, enabling it to probe the condition of its battle opponents.",
507,Herdier,Herdier,Normal,,65,80,65,35,65,60,Its dense black fur grows continuously. The high cost of keeping its hard fur properly groomed makes this a troublesome Pokémon to train.,"This Pokémon obeys its master’s orders faithfully. However, it refuses to listen to anything said by a person it doesn’t respect.",Lillipup
508,Stoutland,Stoutland,Normal,,85,110,90,45,90,80,"Intelligent, good-natured, and valiant, it’s a trustworthy partner on rescue teams.","With this wise Pokémon, there could be no concern that it would ever attack people. Some parents even trust it to babysit.",Herdier
509,Purrloin,Purrloin,Dark,,41,50,37,50,37,66,,,
510,Liepard,Liepard,Dark,,64,88,50,88,50,106,,,Purrloin
511,Pansage,Pansage,Grass,,50,53,48,53,48,64,,,
512,Simisage,Simisage,Grass,,75,98,63,98,63,101,,,Pansage
513,Pansear,Pansear,Fire,,50,53,48,53,48,64,,,
514,Simisear,Simisear,Fire,,75,98,63,98,63,101,,,Pansear
515,Panpour,Panpour,Water,,50,53,48,53,48,64,,,
516,Simipour,Simipour,Water,,75,98,63,98,63,101,,,Panpour
517,Munna,Munna,Psychic,,76,25,45,67,55,24,,,
518,Musharna,Musharna,Psychic,,116,55,85,107,95,29,,,Munna
519,Pidove,Pidove,Normal,Flying,50,55,50,36,30,43,,,
520,Tranquill,Tranquill,Normal,Flying,62,77,62,50,42,65,,,Pidove
521,Unfezant,Unfezant,Normal,Flying,80,115,80,65,55,93,,,Tranquill
522,Blitzle,Blitzle,Electric,,45,60,32,50,32,76,,,
523,Zebstrika,Zebstrika,Electric,,75,100,63,80,63,116,,,Blitzle
524,Roggenrola,Roggenrola,Rock,,55,75,85,25,25,15,"Born deep within the ground, it compares itself with similar species, such as Geodude and Carbink, to settle which has the hardest body.","The hexagonal cavity is its ear. It walks in the direction of sounds it hears, but if the sounds cease, it panics and topples over.",
525,Boldore,Boldore,Rock,,70,105,105,50,40,20,Its orange crystal is a mass of energy. Just one crystal fragment would provide enough fuel for a hundred dump trucks.,"It explores caves in search of underground water. It’s not comfortable around water, so this Pokémon takes great care in lapping it up.",Roggenrola
526,Gigalith,Gigalith,Rock,,85,135,130,60,80,25,"The blasts of energy it makes from sunbeams have terrifying power. However, it’s not able to fire its blasts at night or on rainy days.","Known for its hefty horsepower, this Pokémon is a popular partner for construction workers.",Boldore
527,Woobat,Woobat,Psychic,Flying,65,45,43,55,43,72,,,
528,Swoobat,Swoobat,Psychic,Flying,67,57,55,77,55,114,,,Woobat
529,Drilbur,Drilbur,Ground,,60,85,40,30,45,68,,,
530,Excadrill,Excadrill,Ground,Steel,110,135,60,50,65,88,,,Drilbur
531,Audino,Audino,Normal,,103,60,86,60,86,50,,,
532,Timburr,Timburr,Fighting,,75,80,55,25,35,35,,,
533,Gurdurr,Gurdurr,Fighting,,85,105,85,40,50,40,,,Timburr
534,Conkeldurr,Conkeldurr,Fighting,,105,140,95,55,65,45,,,Gurdurr
535,Tympole,Tympole,Water,,50,50,40,50,40,64,,,
536,Palpitoad,Palpitoad,Water,Ground,75,65,55,65,55,69,,,Tympole
537,Seismitoad,Seismitoad,Water,Ground,105,95,75,85,75,74,,,Palpitoad
538,Throh,Throh,Fighting,,120,100,85,30,85,45,,,
539,Sawk,Sawk,Fighting,,75,125,75,30,75,85,,,
540,Sewaddle,Sewaddle,Bug,Grass,45,53,70,40,60,42,,,
541,Swadloon,Swadloon,Bug,Grass,55,63,90,50,80,42,,,Sewaddle
542,Leavanny,Leavanny,Bug,Grass,75,103,80,70,80,92,,,Swadloon
543,Venipede,Venipede,Bug,Poison,30,45,59,30,39,57,,,
544,Whirlipede,Whirlipede,Bug,Poison,40,55,99,40,79,47,,,Venipede
545,Scolipede,Scolipede,Bug,Poison,60,100,89,55,69,112,,,Whirlipede
546,Cottonee,Cottonee,Grass,Fairy,40,27,60,37,50,66,"When it finds others of its kind, they all stick together. When enough of them have collected, the mass resembles a cumulonimbus cloud.","Pillows and beds stuffed with cotton exhaled by Cottonee are soft and puffy, light and airy— altogether top quality.",
547,Whimsicott,Whimsicott,Grass,Fairy,60,67,85,77,75,116,"It rides on the wind and slips into people’s homes. After it has turned a room into a cotton- filled mess, it giggles to itself and takes off.","This Pokémon appears, riding upon the wind. But if the wind gusts up, it’ll blow the cotton on this Pokémon’s head clean off.",Cottonee
548,Petilil,Petilil,Grass,,45,35,50,70,50,30,"Although the leaves on its head are bitter enough to cause dizziness, they provide relief from weariness—even more so when boiled.","By pruning the leaves on its head with regularity, this Pokémon can be grown into a fine plump shape.",
549,Lilligant,Lilligant,Grass,,70,60,75,110,75,90,"No matter how much time and money is spent raising it, its flowers are the most beautiful when they bloom in the wild.","As soon as it finds a male to be its partner, the beautiful flower on its head darkens, droops, and withers away.",Petilil
550,Basculin,Basculin (Red-Striped Form),Water,,70,92,65,80,55,98,,,
551,Sandile,Sandile,Ground,Dark,50,72,35,35,35,65,It submerges itself in sand and moves as if swimming. This wise behavior keeps its enemies from finding it and maintains its temperature.,It conceals itself in the sand and chomps down on the legs of any prey that unwarily walk over it. Its favorite food is Trapinch.,
552,Krokorok,Krokorok,Ground,Dark,60,82,45,45,45,74,"They move in groups of a few individuals. A female is often the leader of the group, and the males will gather food.","Thanks to the special membrane covering its eyes, it can see its surroundings clearly, even in the middle of the night.",Sandile
553,Krookodile,Krookodile,Ground,Dark,95,117,80,65,70,92,"Its unique faculty of sight can detect small prey more than 30 miles away, even in the midst of a sandstorm.","After clamping down with its powerful jaws, it twists its body around to rip its prey in half.",Krokorok
554,Darumaka,Darumaka,Fire,,70,90,45,15,45,50,,,
555,Darmanitan,Darmanitan (Standard Mode),Fire,,105,140,55,30,55,95,,,Darumaka
556,Maractus,Maractus,Grass,,75,86,67,106,67,60,,,
557,Dwebble,Dwebble,Bug,Rock,50,65,85,35,35,55,,,
558,Crustle,Crustle,Bug,Rock,70,105,125,65,75,45,,,Dwebble
559,Scraggy,Scraggy,Dark,Fighting,50,75,70,35,70,48,,,
560,Scrafty,Scrafty,Dark,Fighting,65,90,115,45,115,58,,,Scraggy
561,Sigilyph,Sigilyph,Psychic,Flying,72,58,80,103,80,97,,,
562,Yamask,Yamask,Ghost,,38,30,85,55,65,30,,,
563,Cofagrigus,Cofagrigus,Ghost,,58,50,145,95,105,30,,,Yamask
564,Tirtouga,Tirtouga,Water,Rock,54,78,103,53,45,22,"Based on studies of its skeletal structure, it can apparently dive to ocean depths of over half a mile.","Reputed to be the ancestor of most turtle Pokémon, it lived in warm seas approximately a hundred million years ago.",
565,Carracosta,Carracosta,Water,Rock,74,108,133,83,65,32,It constructed its sturdy shell by crunching and swallowing the hard shells or bones of its prey.,"Active both on land and in the sea, this Pokémon drags its land-based prey into the water to finish it off.",Tirtouga
566,Archen,Archen,Rock,Flying,55,112,45,74,45,70,It is the ancestor of all bird Pokémon. Archen itself could not actually fly but moved by hopping from treetop to treetop.,"To all appearances flightless, it was able to glide down from tall treetops to snag its prey.",
567,Archeops,Archeops,Rock,Flying,75,140,65,112,65,110,"Although apparently able to fly, they tended to run along the ground, averaging speeds of roughly 25 mph.","They hunted in flocks. When one Archeops had the prey cornered, another would swoop on it.",Archen
568,Trubbish,Trubbish,Poison,,50,50,62,40,62,65,"Unsanitary places are what they like best. They can be spotted in Alola, often with Grimer in hot pursuit.",It gorges on trash until its stomach is full. Then it belches toxic gas. An unlucky whiff of gas will put a person in the hospital.,
569,Garbodor,Garbodor,Poison,,80,95,82,60,82,75,"Beware the poisonous liquid it shoots from its right arm. If even a little of it gets on you, you’ll experience the effects of the unidentified toxin.","For a time, their numbers increased explosively in Alola. Since the arrival of Grimer, their population has decreased dramatically.",Trubbish
570,Zorua,Zorua,Dark,,40,65,40,80,40,65,,,
571,Zoroark,Zoroark,Dark,,60,105,60,120,60,105,,,Zorua
572,Minccino,Minccino,Normal,,55,50,40,40,40,75,,,
573,Cinccino,Cinccino,Normal,,75,95,60,65,60,115,,,Minccino
574,Gothita,Gothita,Psychic,,45,30,50,55,65,45,,,
575,Gothorita,Gothorita,Psychic,,60,45,70,75,85,55,,,Gothita
576,Gothitelle,Gothitelle,Psychic,,70,55,95,95,110,65,,,Gothorita
577,Solosis,Solosis,Psychic,,45,30,40,105,50,20,,,
578,Duosion,Duosion,Psychic,,65,40,50,125,60,30,,,Solosis
579,Reuniclus,Reuniclus,Psychic,,110,65,75,125,85,30,,,Duosion
580,Ducklett,Ducklett,Water,Flying,62,44,50,44,50,55,,,
581,Swanna,Swanna,Water,Flying,75,87,63,87,63,98,,,Ducklett
582,Vanillite,Vanillite,Ice,,36,50,50,65,60,44,"Born of an icicle, this Pokémon uses its frosty breath to make ice crystals, causing snow to fall.",It feels pleasantly cool when embraced. This Pokémon is treasured by households in warm regions.,
583,Vanillish,Vanillish,Ice,,51,65,65,80,75,59,"Hot days cause its body to melt. It can be restored by refreezing it, but the process leaves its body slightly warped.","This Pokémon has existed since the Ice Age. It controls particles of ice, freezes its opponents, and then shatters them with a headbutt.",Vanillite
584,Vanilluxe,Vanilluxe,Ice,,71,95,85,110,95,79,"Each of its two heads has a brain, and when they are in agreement, it attacks its enemies by exhaling a violent blizzard.","Even if it loses one of its heads, it can live relatively problem-free. It makes snow clouds inside its body.",Vanillish
585,Deerling,Deerling (Spring Form),Normal,Grass,60,60,50,40,50,75,,,
586,Sawsbuck,Sawsbuck (Spring Form),Normal,Grass,80,100,70,60,70,95,,,Deerling
587,Emolga,Emolga,Electric,Flying,55,75,60,75,60,103,"It glides using its cape-like membrane. Electrical energy scatters from it, shocking its friends and foes alike.",It grills berries and bug Pokémon with electric shocks and makes a meal of them. It usually nests in the holes gouged in trees by Pikipek.,
588,Karrablast,Karrablast,Bug,,50,75,45,40,45,60,,,
589,Escavalier,Escavalier,Bug,Steel,70,135,105,60,105,20,,,Karrablast
590,Foongus,Foongus,Grass,Poison,69,55,45,55,55,15,,,
591,Amoonguss,Amoonguss,Grass,Poison,114,85,70,85,80,30,,,Foongus
592,Frillish,Frillish,Water,Ghost,55,40,50,65,85,40,,,
593,Jellicent,Jellicent,Water,Ghost,100,60,70,85,105,60,,,Frillish
594,Alomomola,Alomomola,Water,,165,75,80,40,45,65,It uses its special mucus to close the wounds of injured Pokémon. The reason for this behavior remains unknown.,They float upon the open sea. Many water Pokémon gather in the area around Alomomola.,
595,Joltik,Joltik,Bug,Electric,50,47,50,57,50,65,,,
596,Galvantula,Galvantula,Bug,Electric,70,77,60,97,60,108,,,Joltik
597,Ferroseed,Ferroseed,Grass,Steel,44,50,91,24,86,10,,,
598,Ferrothorn,Ferrothorn,Grass,Steel,74,94,131,54,116,20,,,Ferroseed
599,Klink,Klink,Steel,,40,55,70,45,60,30,,,
600,Klang,Klang,Steel,,60,80,95,70,85,50,,,Klink
601,Klinklang,Klinklang,Steel,,60,100,115,70,85,90,,,Klang
602,Tynamo,Tynamo,Electric,,35,55,40,45,40,60,,,
603,Eelektrik,Eelektrik,Electric,,65,85,70,75,70,40,,,Tynamo
604,Eelektross,Eelektross,Electric,,85,115,80,105,80,50,,,Eelektrik
605,Elgyem,Elgyem,Psychic,,55,55,55,85,55,30,,,
606,Beheeyem,Beheeyem,Psychic,,75,75,75,125,95,40,,,Elgyem
607,Litwick,Litwick,Ghost,Fire,50,30,55,65,55,20,,,
608,Lampent,Lampent,Ghost,Fire,60,40,60,95,60,55,,,Litwick
609,Chandelure,Chandelure,Ghost,Fire,60,55,90,145,90,80,,,Lampent
610,Axew,Axew,Dragon,,46,87,60,30,40,57,,,
611,Fraxure,Fraxure,Dragon,,66,117,70,40,50,67,,,Axew
612,Haxorus,Haxorus,Dragon,,76,147,90,60,70,97,,,Fraxure
613,Cubchoo,Cubchoo,Ice,,55,70,40,60,40,40,,,
614,Beartic,Beartic,Ice,,95,130,80,70,80,50,,,Cubchoo
615,Cryogonal,Cryogonal,Ice,,80,50,50,95,135,105,,,
616,Shelmet,Shelmet,Bug,,50,40,85,40,65,25,,,
617,Accelgor,Accelgor,Bug,,80,70,40,100,60,145,,,Shelmet
618,Stunfisk,Stunfisk,Ground,Electric,109,66,84,81,99,32,,,
619,Mienfoo,Mienfoo,Fighting,,45,85,50,55,50,65,,,
620,Mienshao,Mienshao,Fighting,,65,125,60,95,60,105,,,Mienfoo
621,Druddigon,Druddigon,Dragon,,77,120,90,60,90,48,,,
622,Golett,Golett,Ground,Ghost,59,74,50,35,50,35,,,
623,Golurk,Golurk,Ground,Ghost,89,124,80,55,80,55,,,Golett
624,Pawniard,Pawniard,Dark,Steel,45,85,70,40,40,60,,,
625,Bisharp,Bisharp,Dark,Steel,65,125,100,60,70,70,,,Pawniard
626,Bouffalant,Bouffalant,Normal,,95,110,95,40,95,55,,,
627,Rufflet,Rufflet,Normal,Flying,70,83,50,37,50,60,They pick fights indiscriminately. They grow stronger and more powerful each time they faint or are injured.,"With its sharp claws, this Pokémon pierces its prey, and then it pecks at them. Although it also consumes berries, it’s a carnivore at heart.",
628,Braviary,Braviary,Normal,Flying,100,123,75,57,75,80,"With its brave disposition, it fears nothing—not even death. Ancient Alolan people respected it, referring to it as “the hero of the sky.”","It’s thought that people disturbed their habitats in the past, so Braviary banded together to fight back.",Rufflet
629,Vullaby,Vullaby,Dark,Flying,70,55,75,45,65,60,"It protects its plump posterior with the bones of prey it has consumed. As it grows, it replaces the bones.","It can’t fly yet and must wait until its wings have developed more. Since it’s still at a playful age, it hops around friskily.",
630,Mandibuzz,Mandibuzz,Dark,Flying,110,65,105,55,95,80,"They adorn themselves beautifully with bones. This is supposedly an effort to attract males, but no male Mandibuzz have ever been found.","It circles in the sky, keeping a keen eye out for Pokémon in a weakened state. Its choicest food is Cubone.",Vullaby
631,Heatmor,Heatmor,Fire,,85,97,66,105,66,65,,,
632,Durant,Durant,Bug,Steel,58,109,112,48,48,109,,,
633,Deino,Deino,Dark,Dragon,52,65,50,45,50,38,,,
634,Zweilous,Zweilous,Dark,Dragon,72,85,70,65,70,58,,,Deino
635,Hydreigon,Hydreigon,Dark,Dragon,92,105,90,125,90,98,,,Zweilous
636,Larvesta,Larvesta,Bug,Fire,55,85,55,50,55,60,,,
637,Volcarona,Volcarona,Bug,Fire,85,60,65,135,105,100,,,Larvesta
638,Cobalion,Cobalion,Steel,Fighting,91,90,129,90,72,108,,,
639,Terrakion,Terrakion,Rock,Fighting,91,129,90,72,90,108,,,
640,Virizion,Virizion,Grass,Fighting,91,90,72,90,129,108,,,
641,Tornadus,Tornadus (Incarnate Forme),Flying,,79,115,70,125,80,111,,,
642,Thundurus,Thundurus (Incarnate Forme),Electric,Flying,79,115,70,125,80,111,,,
643,Reshiram,Reshiram,Dragon,Fire,100,120,100,150,120,90,,,
644,Zekrom,Zekrom,Dragon,Electric,100,150,120,120,100,90,,,
645,Landorus,Landorus (Incarnate Forme),Ground,Flying,89,125,90,115,80,101,,,
646,Kyurem,Kyurem (Kyurem),Dragon,Ice,125,130,90,130,90,95,,,
647,Keldeo,Keldeo (Ordinary Form),Water,Fighting,91,72,90,129,90,108,,,
648,Meloetta,Meloetta (Aria Forme),Normal,Psychic,100,77,77,128,128,90,,,
649,Genesect,Genesect (Genesect),Bug,Steel,71,120,95,120,95,99,,,
650,Chespin,Chespin,Grass,,56,61,65,48,45,38,,,
651,Quilladin,Quilladin,Grass,,61,78,95,56,58,57,,,Chespin
652,Chesnaught,Chesnaught,Grass,Fighting,88,107,122,74,75,64,,,Quilladin
653,Fennekin,Fennekin,Fire,,40,45,40,62,60,60,,,
654,Braixen,Braixen,Fire,,59,59,58,90,70,73,,,Fennekin
655,Delphox,Delphox,Fire,Psychic,75,69,72,114,100,104,,,Braixen
656,Froakie,Froakie,Water,,41,56,40,62,44,71,,,
657,Frogadier,Frogadier,Water,,54,63,52,83,56,97,,,Froakie
658,Greninja,Greninja,Water,Dark,72,95,67,103,71,122,,,Frogadier
659,Bunnelby,Bunnelby,Normal,,38,36,38,32,36,57,,,
660,Diggersby,Diggersby,Normal,Ground,85,56,77,50,77,78,,,Bunnelby
661,Fletchling,Fletchling,Normal,Flying,45,50,43,40,38,62,"This amiable Pokémon is easy to train. But when battle is joined, it shows its ferocious side.","When it’s excited, its temperature can double, spiking hormone production in its body.",
662,Fletchinder,Fletchinder,Fire,Flying,62,73,55,56,52,84,"From its beak, it fires embers at its prey. Once it has caught them, it grills them at high heat before feasting upon them.","It will not tolerate other Fletchinder entering its territory, which has a radius of several miles.",Fletchling
663,Talonflame,Talonflame,Fire,Flying,78,81,71,74,69,126,Its favorite foods are Wingull and Pikipek. It attacks with a powerful kick and grasps them firmly in its talons.,"It zooms directly at its prey at flight speeds of close to 310 mph, while fiery embers scatter from gaps in its feathers.",Fletchinder
664,Scatterbug,Scatterbug,Bug,,38,35,40,27,25,35,,,
665,Spewpa,Spewpa,Bug,,45,22,60,27,30,29,,,Scatterbug
